"asvid","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","confidence"
"24051ef88d0304b64d9d8f9b863126e6","Bacteria","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","",0.99
"0cd34307c2bc10c920cbb0f54e8b258b","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004","",0.88
"9005913af42064e320051750884713c9","Bacteria","Bacteria","Firmicutes","Clostridia","","","","",0.68
"584cf8ba6576e18daca71a0474aa44cb","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-004","",0.78
"fb63d29dfe8a5b264a9dc507c150da3b","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"430d480477d450614cc88f3853c6ae7f","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","",1
"f1df1b0c43f241cefde2b9ad34ab0500","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","",0.97
"6a90057b6e7a186c4d4e8974cd089f3f","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","",0.95
"9949132e3008e155cf0960ea216261a0","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","",0.81
"3406741f49ffdedcbd05f0bc48895454","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","","",1
"640ff4b27e326d64e218ed1532bd38b2","Bacteria","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella","",0.76
"dfacb2a58d70c05d1f3f4ab7687dc8ca","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Butyricicoccaceae","UCG-009","",1
"b2e0a4dc0cfb4a30684ac1ef490af1ba","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","",0.6
"f4571fb44565ccc15f48f9ea7d7e0de7","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidetes vadinHA17","","",1
"beb746f801937753cd4dbdee9c7e153e","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.56
"3c694e59b1077effbf9ddfa73bd6e30a","Bacteria","Bacteria","Patescibacteria","Parcubacteria","","","","",0.98
"bc93d7996948ee68be4282d263c8255d","Bacteria","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Centipeda","",0.9
"49e8d8284c425cbe4cff0c908d04684e","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Anaerococcus","",1
"8043ce781f9ae5b8ba578d45e629b985","Bacteria","Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","",1
"0772ca7cab0b4c185897b1602053ee4e","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","",0.66
"4ce2a5396fb5464ce226e2395622d5f0","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","","","",0.73
"964fba3961a0e225b2c7ff70a96bbb81","Bacteria","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","","",1
"ff1d1307fe8a315c4a77f8c87500ecb6","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.93
"7b33858e201505eba66242a9ff8107d4","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","","",0.84
"d535324244771f1ff05a617464b7a49f","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.98
"f29f9e0a3ed55fcb5a14ce7e6f459720","Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Conservatibacter","",0.81
"f4bace87750c8c5b7697f61826634acb","Bacteria","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Pygmaiobacter","",0.72
"a45f1388f4d56eb435f8d7c7adee59de","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","veroralis",1
"ed8746a919274371bea412882a1c6bb5","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium","",0.95
"e88af6f260a8f9b17b7b639087a420da","Bacteria","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Secundilactobacillus","",0.97
"65d376f753d86e7814f289bfc0202cca","Bacteria","Bacteria","Bacteroidota","Bacteroidia","","","","",0.58
"9441ebd7d976e935bd4f3f85ad6b9cd5","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","","",1
"a9dc80e8e0f730be894735562d7c0696","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Finegoldia","",1
"f73bc660ad02cf25a2e30bead37e34fd","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","",0.96
"91d72800d6009e5d38c5e743e4140ee7","Bacteria","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","",0.78
"8ca11ab372bcd12de60e1f4f6f82f775","Bacteria","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","","",0.93
"52cdd4c3305b200497e8f8061fecb13c","Bacteria","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","",1
"9fc31ba4bf717f041fa579491e9aa51f","Bacteria","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Family XI","Anaerococcus","",1
