sid,genus,data_source,relative_abundance
NSCLC_IMM_001_stool_baseline,Acidaminococcaceae,Derosa_NSCLC,1.68848
NSCLC_IMM_001_stool_baseline,Adlercreutzia,Derosa_NSCLC,0.00827
NSCLC_IMM_001_stool_baseline,Agathobaculum,Derosa_NSCLC,0.11002
NSCLC_IMM_001_stool_baseline,Akkermansia,Derosa_NSCLC,10.82813
NSCLC_IMM_001_stool_baseline,Alistipes,Derosa_NSCLC,6.73596
NSCLC_IMM_001_stool_baseline,Allisonella,Derosa_NSCLC,0.01583
NSCLC_IMM_001_stool_baseline,Anaerobutyricum,Derosa_NSCLC,0.04376
NSCLC_IMM_001_stool_baseline,Anaerosacchariphilus,Derosa_NSCLC,0.00155
NSCLC_IMM_001_stool_baseline,Anaerostipes,Derosa_NSCLC,0.15872
NSCLC_IMM_001_stool_baseline,Anaerotignum,Derosa_NSCLC,0.42144
NSCLC_IMM_001_stool_baseline,Anaerotruncus,Derosa_NSCLC,0.02339
NSCLC_IMM_001_stool_baseline,Bacteroides,Derosa_NSCLC,7.90817
NSCLC_IMM_001_stool_baseline,Barnesiella,Derosa_NSCLC,2.03636
NSCLC_IMM_001_stool_baseline,Bifidobacterium,Derosa_NSCLC,0.09907
NSCLC_IMM_001_stool_baseline,Bilophila,Derosa_NSCLC,0.37331
NSCLC_IMM_001_stool_baseline,Blautia,Derosa_NSCLC,0.61689
NSCLC_IMM_001_stool_baseline,Butyricimonas,Derosa_NSCLC,0.41195
NSCLC_IMM_001_stool_baseline,Candidatus,Derosa_NSCLC,1.1147
NSCLC_IMM_001_stool_baseline,Catenibacterium,Derosa_NSCLC,0.01691
NSCLC_IMM_001_stool_baseline,Christensenella,Derosa_NSCLC,0.00823
NSCLC_IMM_001_stool_baseline,Christensenellaceae,Derosa_NSCLC,0.3128
NSCLC_IMM_001_stool_baseline,Clostridia,Derosa_NSCLC,6.93768
NSCLC_IMM_001_stool_baseline,Clostridiaceae,Derosa_NSCLC,0.17375
NSCLC_IMM_001_stool_baseline,Clostridiales,Derosa_NSCLC,0.10674
NSCLC_IMM_001_stool_baseline,Clostridium,Derosa_NSCLC,1.58164
NSCLC_IMM_001_stool_baseline,Collinsella,Derosa_NSCLC,0.06873
NSCLC_IMM_001_stool_baseline,Coprobacillus,Derosa_NSCLC,0.01989
NSCLC_IMM_001_stool_baseline,Coprobacter,Derosa_NSCLC,0.12265
NSCLC_IMM_001_stool_baseline,Coprococcus,Derosa_NSCLC,0.23262
NSCLC_IMM_001_stool_baseline,Death,Derosa_NSCLC,1.0
NSCLC_IMM_001_stool_baseline,Desulfovibrionaceae,Derosa_NSCLC,0.88826
NSCLC_IMM_001_stool_baseline,Dorea,Derosa_NSCLC,0.37426
NSCLC_IMM_001_stool_baseline,Dysosmobacter,Derosa_NSCLC,0.43029
NSCLC_IMM_001_stool_baseline,Eggerthellaceae,Derosa_NSCLC,0.00759
NSCLC_IMM_001_stool_baseline,Eisenbergiella,Derosa_NSCLC,0.77035
NSCLC_IMM_001_stool_baseline,Enterocloster,Derosa_NSCLC,0.18418
NSCLC_IMM_001_stool_baseline,Enterococcus,Derosa_NSCLC,0.01379
NSCLC_IMM_001_stool_baseline,Erysipelotrichaceae,Derosa_NSCLC,0.00775
NSCLC_IMM_001_stool_baseline,Escherichia,Derosa_NSCLC,0.30635
NSCLC_IMM_001_stool_baseline,Eubacteriaceae,Derosa_NSCLC,0.81588
NSCLC_IMM_001_stool_baseline,Eubacterium,Derosa_NSCLC,1.4439
NSCLC_IMM_001_stool_baseline,Faecalibacillus,Derosa_NSCLC,0.01582
NSCLC_IMM_001_stool_baseline,Faecalibacterium,Derosa_NSCLC,1.14858
NSCLC_IMM_001_stool_baseline,Faecalicatena,Derosa_NSCLC,0.125
NSCLC_IMM_001_stool_baseline,Firmicutes,Derosa_NSCLC,0.13143
NSCLC_IMM_001_stool_baseline,Flavonifractor,Derosa_NSCLC,0.02937
NSCLC_IMM_001_stool_baseline,Fusicatenibacter,Derosa_NSCLC,1.11541
NSCLC_IMM_001_stool_baseline,Gemmiger,Derosa_NSCLC,1.01328
NSCLC_IMM_001_stool_baseline,Gordonibacter,Derosa_NSCLC,0.07412
NSCLC_IMM_001_stool_baseline,Haemophilus,Derosa_NSCLC,0.0645
NSCLC_IMM_001_stool_baseline,Holdemania,Derosa_NSCLC,0.08101
NSCLC_IMM_001_stool_baseline,Hungatella,Derosa_NSCLC,0.21882
NSCLC_IMM_001_stool_baseline,Hydrogeniiclostidium,Derosa_NSCLC,0.29803
NSCLC_IMM_001_stool_baseline,Intestinibacter,Derosa_NSCLC,0.00551
NSCLC_IMM_001_stool_baseline,Intestinimonas,Derosa_NSCLC,0.04333
NSCLC_IMM_001_stool_baseline,Isoptericola,Derosa_NSCLC,0.00092
NSCLC_IMM_001_stool_baseline,Lachnoclostridium,Derosa_NSCLC,0.00165
NSCLC_IMM_001_stool_baseline,Lachnospira,Derosa_NSCLC,1.04342
NSCLC_IMM_001_stool_baseline,Lachnospiraceae,Derosa_NSCLC,1.44134
NSCLC_IMM_001_stool_baseline,Lacrimispora,Derosa_NSCLC,0.00705
NSCLC_IMM_001_stool_baseline,Lactococcus,Derosa_NSCLC,0.01256
NSCLC_IMM_001_stool_baseline,Lawsonibacter,Derosa_NSCLC,0.10522
NSCLC_IMM_001_stool_baseline,Lentisphaeria,Derosa_NSCLC,1.82957
NSCLC_IMM_001_stool_baseline,Massilioclostridium,Derosa_NSCLC,0.00128
NSCLC_IMM_001_stool_baseline,Merdimonas,Derosa_NSCLC,0.00607
NSCLC_IMM_001_stool_baseline,Methanomassiliicoccaceae,Derosa_NSCLC,0.60604
NSCLC_IMM_001_stool_baseline,OS,Derosa_NSCLC,11.801446
NSCLC_IMM_001_stool_baseline,Odoribacter,Derosa_NSCLC,0.57646
NSCLC_IMM_001_stool_baseline,Oribacterium,Derosa_NSCLC,0.00286
NSCLC_IMM_001_stool_baseline,Oscillibacter,Derosa_NSCLC,0.46241
